PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,SALARY
Malcolm Hill,Bulls,Forward,6-6,220,USA,1995-10-26T00:00:00,1,Undrafted,19,212.0,72,35,8,7,3,
Nate Hinton,Pacers,Guard-Forward,6-5,210,USA,1999-06-08T00:00:00,3,Undrafted,23,96.0,41,9,8,7,2,
Aaron Holiday,Hawks,Guard,6-0,185,USA,1996-09-30T00:00:00,4,23,245,4460.0,1796,434,588,164,51,3980551.0
Jrue Holiday,Bucks,Guard,6-3,205,USA,1990-06-12T00:00:00,13,17,839,27816.0,13586,3361,5373,1267,430,30133333.0
Justin Holiday,Hawks,Forward-Guard,6-6,180,USA,1989-04-05T00:00:00,9,Undrafted,576,14149.0,5005,1700,860,559,255,6006420.0
Richaun Holmes,Kings,Forward,6-10,235,USA,1993-10-15T00:00:00,7,37,376,7922.0,3605,2167,403,220,396,10384500.0
Rodney Hood,Clippers,Guard-Forward,6-8,208,USA,1992-10-20T00:00:00,8,23,448,10978.0,4656,1160,736,301,80,2239544.0
Al Horford,Celtics,Center-Forward,6-9,240,Dominican Republic,1986-06-03T00:00:00,15,3,950,30598.0,12989,7772,3144,762,1126,27000000.0
Talen Horton-Tucker,Jazz,Guard,6-4,234,USA,2000-11-25T00:00:00,3,46,131,2896.0,1216,369,346,130,51,9500000.0
Danuel House Jr.,76ers,Forward-Guard,6-6,220,USA,1993-06-07T00:00:00,6,Undrafted,204,4954.0,1743,727,263,136,84,2045094.0
Dwight Howard,Lakers,Center-Forward,6-10,265,USA,1985-12-08T00:00:00,18,1,1242,39456.0,19485,14627,1676,1081,2228,2641691.0
Markus Howard,Nuggets,Guard,5-10,175,USA,1999-03-03T00:00:00,3,Undrafted,68,381.0,231,33,25,13,1,
Kevin Huerter,Kings,Guard-Forward,6-7,198,USA,1998-08-27T00:00:00,4,19,274,8123.0,3125,958,871,253,96,4253357.0
Elijah Hughes,Trail Blazers,Guard,6-5,215,USA,1998-03-10T00:00:00,2,39,54,498.0,157,67,28,15,9,1517981.0
Feron Hunt,Knicks,Forward,6-8,195,USA,1999-07-05T00:00:00,1,Undrafted,2,8.0,0,1,1,1,0,
De'Andre Hunter,Hawks,Forward-Guard,6-8,221,USA,1997-12-02T00:00:00,3,4,139,4273.0,1831,572,224,99,51,7775400.0
Bones Hyland,Nuggets,Guard,6-2,169,USA,2000-09-14T00:00:00,1,26,69,1310.0,698,188,191,41,20,2096880.0
Serge Ibaka,Bucks,Forward,6-10,235,Republic of the Congo,1989-09-18T00:00:00,13,24,903,24942.0,10962,6469,745,371,1752,9742000.0
Andre Iguodala,Warriors,Guard-Forward,6-6,215,USA,1984-01-28T00:00:00,18,9,1223,39393.0,13951,6030,5128,1761,630,2641691.0
Joe Ingles,Bucks,Forward-Guard,6-8,220,Australia,1987-10-02T00:00:00,8,Undrafted,590,15157.0,5094,1914,2213,544,90,14000000.0
Brandon Ingram,Pelicans,Forward,6-8,190,USA,1997-09-02T00:00:00,6,2,368,12079.0,6812,1896,1412,260,210,29467800.0
Kyrie Irving,Nets,Guard,6-2,195,Australia,1992-03-23T00:00:00,11,1,611,20804.0,14089,2339,3504,816,241,34916200.0
Jonathan Isaac,Magic,Forward,6-10,230,USA,1997-10-03T00:00:00,3,6,136,3512.0,1269,741,146,145,206,17400000.0
Frank Jackson,Pistons,Guard,6-3,205,USA,1998-05-04T00:00:00,4,31,213,3868.0,1816,390,221,84,16,3000000.0
Isaiah Jackson,Pacers,Forward,6-10,205,USA,2002-01-10T00:00:00,1,22,36,541.0,297,149,10,25,52,2451120.0
Josh Jackson,Raptors,Guard-Forward,6-8,207,USA,1997-02-10T00:00:00,5,4,291,6718.0,3276,1159,534,251,169,5005350.0
Reggie Jackson,Clippers,Guard,6-2,208,USA,1990-04-16T00:00:00,11,24,703,18001.0,9183,2122,3020,486,88,10384500.0
Jaren Jackson Jr.,Grizzlies,Forward-Center,6-11,242,USA,1999-09-15T00:00:00,4,4,204,5521.0,3218,1050,240,177,369,9180560.0
LeBron James,Lakers,Forward,6-9,250,USA,1984-12-30T00:00:00,19,1,1366,52138.0,37062,10210,10045,2136,1041,41180544.0
Ty Jerome,Thunder,Guard-Forward,6-5,195,USA,1997-07-08T00:00:00,3,24,112,1916.0,795,215,273,65,14,2412840.0
Isaiah Joe,76ers,Guard,6-4,165,USA,1999-07-02T00:00:00,2,49,96,992.0,351,92,55,26,7,1517981.0
Cameron Johnson,Suns,Forward,6-8,210,USA,1996-03-03T00:00:00,3,11,183,4423.0,1899,659,254,130,52,4437000.0
David Johnson,Raptors,Guard,6-4,203,USA,2001-02-26T00:00:00,1,47,2,2.0,0,0,0,0,0,
Jalen Johnson,Hawks,Forward,6-8,219,USA,2001-12-18T00:00:00,1,20,22,120.0,52,26,3,3,2,2659560.0
Keldon Johnson,Spurs,Forward-Guard,6-6,220,USA,1999-10-11T00:00:00,3,29,161,4660.0,2313,926,294,112,40,2145720.0
Keon Johnson,Trail Blazers,Guard,6-4,185,USA,2002-03-10T00:00:00,1,21,37,696.0,267,81,76,28,12,2553120.0
Stanley Johnson,Jazz,Forward-Guard,6-6,242,USA,1996-05-29T00:00:00,7,8,419,8408.0,2632,1309,612,367,100,888616.0
Nikola Jokic,Nuggets,Center,6-11,284,Serbia,1995-02-19T00:00:00,7,41,527,16015.0,10364,5456,3281,627,376,30510423.0
Damian Jones,Lakers,Center,6-11,245,USA,1995-06-30T00:00:00,6,30,199,3033.0,1117,685,163,77,148,1977011.0
Herbert Jones,Pelicans,Forward,6-7,206,USA,1998-10-06T00:00:00,1,35,78,2335.0,742,296,167,130,60,1700000.0
Kai Jones,Hornets,Center-Forward,6-10,221,Bahamas,2001-01-19T00:00:00,1,19,21,63.0,22,11,4,1,2,2770560.0
Mason Jones,Lakers,Guard,6-4,200,USA,1998-07-21T00:00:00,3,Undrafted,36,385.0,195,65,46,9,1,
Tre Jones,Spurs,Guard,6-1,185,USA,2000-01-08T00:00:00,2,41,106,1417.0,507,176,272,50,7,1517981.0
Tyus Jones,Grizzlies,Guard,6-0,196,USA,1996-05-10T00:00:00,7,24,455,8378.0,2807,799,1691,444,33,7522200.0
Derrick Jones Jr.,Bulls,Forward,6-6,210,USA,1997-02-15T00:00:00,6,Undrafted,280,5537.0,1833,964,197,184,193,9720900.0
DeAndre Jordan,Nuggets,Center,6-11,265,USA,1988-07-21T00:00:00,14,35,980,26195.0,8933,10142,932,537,1501,10517224.0
Cory Joseph,Pistons,Guard,6-3,200,Canada,1991-08-20T00:00:00,11,29,728,16161.0,5161,1884,2186,562,167,7310000.0
Luke Kennard,Clippers,Guard,6-5,206,USA,1996-06-24T00:00:00,5,12,297,6973.0,2966,847,603,147,44,12727273.0
Braxton Key,Pistons,Forward,6-8,225,USA,1997-02-14T00:00:00,1,Undrafted,11,197.0,79,50,11,10,11,
Corey Kispert,Wizards,Forward,6-6,224,USA,1999-03-03T00:00:00,1,15,77,1801.0,634,209,85,35,22,3383640.0
Maxi Kleber,Mavericks,Forward,6-10,240,Germany,1992-01-29T00:00:00,5,Undrafted,326,7389.0,2307,1561,345,141,301,8750000.0
Nathan Knight,Timberwolves,Forward-Center,6-10,253,USA,1997-09-20T00:00:00,2,Undrafted,70,546.0,262,157,30,16,18,
Kevin Knox II,Pistons,Forward,6-7,215,USA,1999-08-11T00:00:00,4,9,212,4011.0,1638,624,172,82,60,5845978.0
John Konchar,Grizzlies,Guard,6-5,210,USA,1996-03-22T00:00:00,3,Undrafted,134,2048.0,587,504,178,82,34,2197674.0
Furkan Korkmaz,76ers,Guard-Forward,6-7,202,Turkey,1997-07-24T00:00:00,5,26,256,4793.0,2016,574,344,154,37,4629630.0
Luke Kornet,Celtics,Center-Forward,7-2,250,USA,1995-07-15T00:00:00,5,Undrafted,148,2120.0,807,379,145,51,119,606702.0
Vit Krejci,Thunder,Guard,6-8,195,Czech Republic,2000-06-19T00:00:00,1,37,30,690.0,187,101,57,19,8,925258.0
Arnoldas Kulboka,Hornets,Forward,6-10,209,Lithuania,1998-01-04T00:00:00,1,55,2,5.0,0,0,0,0,0,
Jonathan Kuminga,Warriors,Forward,6-7,225,DRC,2002-10-06T00:00:00,1,7,70,1185.0,652,234,64,31,22,5466360.0
Kyle Kuzma,Wizards,Forward,6-9,221,USA,1995-07-24T00:00:00,5,27,342,10399.0,5336,2116,759,195,184,13000000.0
Zach LaVine,Bulls,Guard-Forward,6-5,200,USA,1995-03-10T00:00:00,8,13,478,15218.0,9466,1876,1860,423,145,19500000.0
Anthony Lamb,Rockets,Forward,6-6,227,USA,1998-01-20T00:00:00,2,Undrafted,26,423.0,133,71,25,6,5,
Jeremy Lamb,Kings,Guard-Forward,6-5,180,USA,1992-05-30T00:00:00,10,12,573,11896.0,5805,2073,904,417,218,10500000.0
Jock Landale,Suns,Center,6-11,255,Australia,1995-10-25T00:00:00,1,Undrafted,54,589.0,265,138,45,10,14,925258.0
Romeo Langford,Spurs,Guard-Forward,6-5,216,USA,1999-10-25T00:00:00,3,14,98,1424.0,353,184,47,36,29,3804360.0
Jake Layman,Timberwolves,Forward,6-8,209,USA,1994-03-07T00:00:00,6,47,243,3099.0,1175,417,127,99,71,3940184.0
Caris LeVert,Cavaliers,Guard,6-6,205,USA,1994-08-25T00:00:00,6,20,318,8759.0,4649,1216,1257,343,107,17500000.0
Damion Lee,Suns,Guard-Forward,6-5,210,USA,1992-10-21T00:00:00,5,Undrafted,216,4538.0,1780,757,311,159,21,1910860.0
Saben Lee,Pistons,Guard,6-2,183,USA,1999-06-23T00:00:00,2,38,85,1384.0,475,184,281,68,25,1489065.0
Alex Len,Kings,Center,7-0,250,Ukraine,1993-06-16T00:00:00,9,5,570,10770.0,4371,3341,489,224,550,3731707.0
Kawhi Leonard,Clippers,Forward,6-7,225,USA,1991-06-29T00:00:00,10,15,576,18025.0,11085,3689,1672,1013,367,39344900.0
Scottie Lewis,Hornets,Guard,6-5,185,USA,2000-03-12T00:00:00,1,56,2,7.0,1,0,1,1,0,
Kira Lewis Jr.,Pelicans,Guard,6-1,170,USA,2001-04-06T00:00:00,2,13,78,1246.0,484,110,173,49,11,3822240.0
Damian Lillard,Trail Blazers,Guard,6-2,195,USA,1990-07-15T00:00:00,10,6,711,25832.0,17510,2976,4726,682,221,39344900.0
Nassir Little,Trail Blazers,Forward-Guard,6-5,220,USA,2000-02-11T00:00:00,3,25,138,2301.0,802,472,99,43,63,2316240.0
Isaiah Livers,Pistons,Forward,6-6,232,USA,1998-07-28T00:00:00,1,42,19,383.0,121,57,21,13,7,1057260.0
Kevon Looney,Warriors,Forward,6-9,222,USA,1996-02-06T00:00:00,7,30,367,6014.0,1721,1750,498,178,206,5178572.0
Brook Lopez,Bucks,Center,7-0,282,USA,1988-04-01T00:00:00,14,10,868,26193.0,14247,5407,1245,503,1530,13302325.0
Robin Lopez,Cavaliers,Center,7-0,281,USA,1988-04-01T00:00:00,14,15,939,20573.0,8196,4604,796,216,1034,5000000.0
Didi Louzada,Trail Blazers,Guard,6-5,188,Brazil,1999-07-02T00:00:00,3,35,12,186.0,43,20,8,4,2,1786878.0
Kevin Love,Cavaliers,Forward-Center,6-8,251,USA,1988-09-07T00:00:00,14,5,812,25089.0,14305,8666,1919,528,342,31300000.0
Kyle Lowry,Heat,Guard,6-0,196,USA,1986-03-25T00:00:00,16,24,1023,32616.0,15116,4475,6469,1350,298,26984128.0
Gabriel Lundberg,Suns,Guard,6-4,203,Denmark,1994-12-04T00:00:00,1,Undrafted,4,44.0,13,7,11,3,0,
Timothe Luwawu-Cabarrot,Hawks,Guard-Forward,6-7,215,France,1995-05-09T00:00:00,6,24,328,5254.0,1937,656,293,132,42,1939350.0
Trey Lyles,Kings,Forward,6-9,234,Canada,1995-11-05T00:00:00,7,12,449,8216.0,3503,1953,477,175,156,2500000.0
Theo Maledon,Thunder,Guard,6-4,175,France,2001-06-12T00:00:00,2,34,116,2686.0,1019,342,338,87,22,2000000.0
Sandro Mamukelashvili,Bucks,Forward-Center,6-9,240,Georgia,1999-05-23T00:00:00,1,54,41,407.0,154,82,22,9,9,
Terance Mann,Clippers,Guard-Forward,6-5,215,USA,1996-10-18T00:00:00,3,48,189,3942.0,1443,722,366,95,39,1782621.0
Tre Mann,Thunder,Guard,6-3,178,USA,2001-02-03T00:00:00,1,18,60,1367.0,625,171,91,47,12,2901240.0
Boban Marjanovic,Rockets,Center,7-3,290,Serbia,1988-08-15T00:00:00,7,Undrafted,286,2641.0,1688,1097,139,54,92,3500000.0
Lauri Markkanen,Jazz,Forward-Center,6-11,240,Finland,1997-05-22T00:00:00,5,7,282,8389.0,4339,1904,354,189,141,15690909.0
Naji Marshall,Pelicans,Forward,6-7,220,USA,1998-01-24T00:00:00,2,Undrafted,87,1435.0,559,290,150,59,18,1517981.0
Caleb Martin,Heat,Forward,6-5,205,USA,1995-09-28T00:00:00,3,Undrafted,131,2507.0,926,409,154,107,49,527614.0
Cody Martin,Hornets,Forward,6-6,205,USA,1995-09-28T00:00:00,3,36,171,3618.0,989,604,360,164,53,1782621.0
Kenyon Martin Jr.,Rockets,Forward,6-5,215,USA,2001-01-06T00:00:00,2,52,124,2724.0,1115,539,149,64,81,1517981.0
Garrison Mathews,Rockets,Guard,6-5,215,USA,1996-10-24T00:00:00,3,Undrafted,147,2977.0,1102,301,100,94,32,1093598.0
Wesley Matthews,Bucks,Guard,6-4,220,USA,1986-10-14T00:00:00,13,Undrafted,898,27347.0,10921,2591,1786,889,180,1958501.0
Tyrese Maxey,76ers,Guard,6-2,200,USA,2000-11-04T00:00:00,2,21,136,3586.0,1799,344,441,81,45,2602920.0
Skylar Mays,Hawks,Guard,6-4,205,USA,1997-09-05T00:00:00,2,50,61,489.0,204,60,47,21,2,
Miles McBride,Knicks,Guard,6-1,195,USA,2000-09-08T00:00:00,1,36,40,372.0,89,42,41,14,1,925258.0
Mac McClung,Warriors,Guard,6-2,185,USA,1999-01-06T00:00:00,1,Undrafted,2,24.0,8,3,1,1,1,
CJ McCollum,Pelicans,Guard,6-3,190,USA,1991-09-19T00:00:00,9,10,590,18625.0,11341,2041,2044,526,223,30864198.0
T.J. McConnell,Pacers,Guard,6-1,190,USA,1992-03-25T00:00:00,7,,481,10691.0,3299,1436,2404,613,94,7500000.0
Jaden McDaniels,Timberwolves,Forward,6-9,185,USA,2000-09-29T00:00:00,2,28,133,3313.0,1074,525,150,87,114,2063280.0
Jalen McDaniels,Hornets,Forward-Center,6-9,205,USA,1998-01-31T00:00:00,3,52,118,2092.0,775,404,124,62,44,1782621.0
Doug McDermott,Spurs,Forward,6-7,225,USA,1992-01-03T00:00:00,8,11,527,11012.0,4846,1236,496,113,53,13750000.0
JaVale McGee,Mavericks,Center-Forward,7-0,270,USA,1988-01-19T00:00:00,14,18,821,13982.0,6536,4344,358,327,1212,5000000.0
Rodney McGruder,Pistons,Guard,6-4,205,USA,1991-07-29T00:00:00,6,Undrafted,285,5634.0,1642,811,353,145,49,1939350.0
Jordan McLaughlin,Timberwolves,Guard,5-11,185,USA,1996-04-09T00:00:00,3,Undrafted,143,2430.0,718,251,498,142,20,1669178.0
Ben McLemore,Trail Blazers,Guard,6-3,195,USA,1993-02-11T00:00:00,9,7,556,12534.0,5015,1269,563,353,106,2389641.0
De'Anthony Melton,76ers,Guard,6-2,200,USA,1998-05-28T00:00:00,4,46,235,4853.0,1968,843,660,309,113,8437500.0
Chimezie Metu,Kings,Forward-Center,6-9,225,USA,1997-03-22T00:00:00,4,49,143,2018.0,869,516,111,74,58,1762796.0
Khris Middleton,Bucks,Forward,6-7,222,USA,1991-08-12T00:00:00,10,39,651,20693.0,11136,3166,2461,794,123,35500000.0
Patty Mills,Nets,Guard,6-0,180,Australia,1988-08-11T00:00:00,13,55,820,17013.0,7520,1390,1894,533,73,5890000.0
Paul Millsap,76ers,Forward,6-7,257,USA,1985-02-10T00:00:00,16,47,1085,30498.0,14536,7673,2378,1327,1045,2641691.0
Shake Milton,76ers,Guard-Forward,6-5,205,USA,1996-09-26T00:00:00,4,54,178,3714.0,1731,413,454,95,50,1846738.0
Davion Mitchell,Kings,Guard,6-0,202,USA,1998-09-05T00:00:00,1,9,75,2076.0,861,166,313,55,24,4603320.0
Donovan Mitchell,Cavaliers,Guard,6-1,215,USA,1996-09-07T00:00:00,5,13,345,11637.0,8234,1433,1542,445,99,28103550.0
Evan Mobley,Cavaliers,Center,6-11,215,USA,2001-06-18T00:00:00,1,3,69,2331.0,1034,570,174,56,115,8075160.0
Malik Monk,Kings,Guard,6-3,200,USA,1998-02-04T00:00:00,5,11,309,6298.0,3176,717,627,162,77,1789256.0
Greg Monroe,Timberwolves,Forward-Center,6-10,250,USA,1990-06-04T00:00:00,10,7,646,17670.0,8402,5293,1376,680,373,
Moses Moody,Warriors,Guard,6-5,211,USA,2002-05-31T00:00:00,1,14,52,607.0,228,80,23,7,10,3562080.0
Xavier Moon,Clippers,Guard,6-2,165,USA,1995-01-02T00:00:00,1,Undrafted,10,137.0,58,14,24,7,3,
Ja Morant,Grizzlies,Guard,6-3,174,USA,1999-08-10T00:00:00,3,2,187,6016.0,3961,836,1337,181,53,9603360.0
Juwan Morgan,Celtics,Forward,6-7,232,USA,1997-04-17T00:00:00,4,Undrafted,52,313.0,76,61,16,5,3,
Markieff Morris,Nets,Forward,6-9,245,USA,1989-09-02T00:00:00,11,13,715,17725.0,7822,3714,1153,578,369,2641691.0
Monte Morris,Wizards,Guard,6-2,183,USA,1995-06-27T00:00:00,5,51,280,7067.0,2947,655,1042,221,48,8333333.0
Marcus Morris Sr.,Clippers,Forward,6-8,218,USA,1989-09-02T00:00:00,11,14,718,19451.0,8921,3298,1085,488,204,15627907.0
Mychal Mulder,Heat,Guard,6-3,195,Canada,1994-06-12T00:00:00,4,Undrafted,84,1209.0,483,107,39,18,15,
Trey Murphy III,Pelicans,Forward,6-8,206,USA,2000-06-18T00:00:00,1,17,62,864.0,334,147,38,23,7,3053760.0
Dejounte Murray,Hawks,Guard,6-4,180,USA,1996-09-19T00:00:00,5,29,320,8257.0,3993,1920,1540,455,84,15428571.0
Jamal Murray,Nuggets,Guard,6-3,215,Canada,1997-02-23T00:00:00,5,7,345,10384.0,5639,1258,1322,328,109,31590000.0
Mike Muscala,Thunder,Forward-Center,6-10,240,USA,1991-07-01T00:00:00,9,44,432,6695.0,2666,1371,378,150,211,3500000.0
Svi Mykhailiuk,Raptors,Guard-Forward,6-7,205,Ukraine,1997-06-10T00:00:00,5,47,220,3746.0,1451,395,298,132,21,1729217.0
Larry Nance Jr.,Pelicans,Forward-Center,6-7,245,USA,1993-01-01T00:00:00,7,27,396,9527.0,3210,2577,747,484,199,10690909.0
RJ Nembhard Jr.,Cavaliers,Guard,6-4,200,USA,1999-03-22T00:00:00,1,Undrafted,14,63.0,15,7,12,1,0,
Aaron Nesmith,Pacers,Guard-Forward,6-5,215,USA,1999-10-16T00:00:00,2,14,98,1243.0,414,216,45,35,14,3631200.0
Raul Neto,Cavaliers,Guard,6-2,180,Brazil,1992-05-19T00:00:00,7,47,387,6259.0,2313,612,834,262,30,2089448.0
Georges Niang,76ers,Forward,6-7,230,USA,1993-06-17T00:00:00,6,50,305,4455.0,1857,619,248,88,32,3300000.0
Daishen Nix,Rockets,Guard,6-4,226,USA,2002-02-13T00:00:00,1,Undrafted,24,261.0,77,33,40,15,0,292466.0
Zeke Nnaji,Nuggets,Forward-Center,6-9,240,USA,2001-01-09T00:00:00,2,22,83,1095.0,406,212,27,24,17,2498760.0
Nerlens Noel,Pistons,Center-Forward,6-11,220,USA,1994-04-10T00:00:00,8,6,450,10086.0,3303,2788,491,572,673,8800000.0
Jaylen Nowell,Timberwolves,Guard,6-4,201,USA,1999-07-09T00:00:00,3,43,119,1885.0,963,231,211,52,23,1782621.0
Frank Ntilikina,Mavericks,Guard,6-4,200,France,1998-07-28T00:00:00,5,8,269,4803.0,1395,495,631,194,59,1789256.0
Kendrick Nunn,Lakers,Guard,6-2,190,USA,1995-08-03T00:00:00,2,Undrafted,123,3613.0,1840,359,368,108,29,5000000.0
Jusuf Nurkic,Trail Blazers,Center,6-11,290,Bosnia and Herzegovina,1994-08-23T00:00:00,8,16,411,9815.0,5015,3513,903,372,489,12000000.0
David Nwaba,Rockets,Guard-Forward,6-5,219,USA,1993-01-14T00:00:00,6,Undrafted,237,4583.0,1622,866,246,177,106,4650000.0
Jordan Nwora,Bucks,Forward,6-8,225,USA,1998-09-09T00:00:00,2,45,92,1459.0,658,281,66,42,25,1517981.0
Royce O'Neale,Nets,Forward,6-5,226,USA,1993-06-05T00:00:00,5,Undrafted,370,9516.0,2285,1763,771,292,136,8678571.0
Chuma Okeke,Magic,Forward,6-6,229,USA,1998-08-18T00:00:00,2,16,115,2881.0,954,528,219,145,64,3277080.0
Josh Okogie,Suns,Guard,6-4,213,Nigeria,1998-09-01T00:00:00,4,20,244,5017.0,1552,712,278,236,99,4087904.0
Onyeka Okongwu,Hawks,Forward-Center,6-8,240,USA,2000-12-11T00:00:00,2,6,98,1593.0,620,446,71,54,93,6104280.0
Isaac Okoro,Cavaliers,Forward-Guard,6-5,225,USA,2001-01-26T00:00:00,2,5,134,4154.0,1234,407,249,118,46,6720720.0
Victor Oladipo,Heat,Guard,6-4,213,USA,1992-05-04T00:00:00,9,2,462,15141.0,8054,2117,1824,748,218,2389641.0
Kelly Olynyk,Pistons,Forward-Center,6-11,240,Canada,1991-04-19T00:00:00,9,13,610,13409.0,6146,3087,1248,465,284,12195122.0
Cedi Osman,Cavaliers,Forward,6-7,230,Turkey,1995-04-08T00:00:00,5,31,327,7999.0,3269,1055,699,241,49,8050000.0
Kelly Oubre Jr.,Hornets,Forward-Guard,6-6,203,USA,1995-12-09T00:00:00,7,15,479,12062.0,5769,2074,484,449,231,12000000.0
Eric Paschall,Timberwolves,Forward,6-6,255,USA,1996-11-04T00:00:00,3,41,158,3085.0,1552,509,214,53,25,1782621.0
Chris Paul,Suns,Guard,6-0,175,USA,1985-05-06T00:00:00,17,4,1155,39896.0,20936,5206,10977,2453,172,30800000.0
Cameron Payne,Suns,Guard,6-1,183,USA,1994-08-08T00:00:00,7,14,279,4994.0,2132,624,905,188,63,6500000.0
Elfrid Payton,Suns,Guard,6-3,195,USA,1994-02-22T00:00:00,8,10,500,13384.0,5036,2007,2867,588,151,2239544.0
Gary Payton II,Trail Blazers,Guard,6-3,195,USA,1992-12-01T00:00:00,6,Undrafted,142,2056.0,740,396,151,148,38,1939350.0
Jamorko Pickett,Cavaliers,Forward,6-9,206,USA,1997-12-24T00:00:00,1,Undrafted,13,176.0,50,32,7,0,7,
Theo Pinson,Mavericks,Guard-Forward,6-5,212,USA,1995-11-05T00:00:00,4,Undrafted,87,759.0,251,116,95,28,6,
Mason Plumlee,Hornets,Forward-Center,6-11,254,USA,1990-03-05T00:00:00,9,22,661,14768.0,5484,4378,1611,503,592,8137500.0
Jakob Poeltl,Spurs,Center,7-1,245,Austria,1995-10-15T00:00:00,6,9,416,8409.0,3035,2524,601,214,524,8750000.0
Aleksej Pokusevski,Thunder,Forward,7-0,190,Serbia,2001-12-26T00:00:00,2,17,106,2323.0,831,530,228,59,80,3113160.0
Yves Pons,Grizzlies,Forward,6-5,206,France,1999-05-07T00:00:00,1,Undrafted,12,71.0,13,12,1,1,4,
Jordan Poole,Warriors,Guard,6-4,194,USA,1999-06-19T00:00:00,3,28,184,4545.0,2520,470,537,121,42,2161440.0
Kevin Porter Jr.,Rockets,Guard-Forward,6-4,203,USA,2000-05-04T00:00:00,3,30,137,3904.0,1878,528,649,134,44,2130240.0
Michael Porter Jr.,Nuggets,Forward,6-10,218,USA,1998-06-29T00:00:00,3,14,125,3081.0,1763,763,133,77,81,5258735.0
Otto Porter Jr.,Raptors,Forward,6-8,198,USA,1993-06-03T00:00:00,9,3,504,13080.0,5336,2551,767,570,216,2389641.0
Bobby Portis,Bucks,Forward,6-10,250,USA,1995-02-10T00:00:00,7,22,453,9837.0,5021,2995,537,263,171,4347600.0
Kristaps Porzingis,Wizards,Forward-Center,7-3,240,Latvia,1995-08-02T00:00:00,6,4,337,10385.0,6371,2649,537,234,635,31650600.0
Dwight Powell,Mavericks,Forward-Center,6-10,240,Canada,1991-07-20T00:00:00,8,45,511,9720.0,3926,2349,524,324,242,11000000.0
Myles Powell,76ers,Guard,6-2,195,USA,1997-07-07T00:00:00,2,Undrafted,11,52.0,13,6,3,1,0,
Norman Powell,Clippers,Guard,6-3,215,USA,1993-05-25T00:00:00,7,46,421,9424.0,4776,1088,625,341,113,15517242.0
Joshua Primo,Spurs,Guard,6-4,189,Canada,2002-12-24T00:00:00,1,12,50,965.0,288,113,81,20,23,3946800.0
Taurean Prince,Timberwolves,Forward,6-6,218,USA,1994-03-22T00:00:00,6,12,370,8937.0,3899,1442,647,313,159,15057692.0
Payton Pritchard,Celtics,Guard,6-1,195,USA,1998-01-28T00:00:00,2,26,137,2269.0,952,292,259,62,15,2137440.0
Trevelin Queen,76ers,Guard,6-6,190,USA,1997-02-25T00:00:00,1,Undrafted,10,74.0,43,16,4,5,1,
Neemias Queta,Kings,Center,7-0,248,Portugal,1999-07-13T00:00:00,1,39,15,120.0,45,31,6,1,8,
Immanuel Quickley,Knicks,Guard,6-3,190,USA,1999-06-17T00:00:00,2,25,142,3046.0,1613,384,402,84,15,2210640.0
Julius Randle,Knicks,Forward-Center,6-8,250,USA,1994-11-29T00:00:00,8,7,518,16145.0,9191,4815,1842,365,235,19800000.0
Austin Reaves,Lakers,Guard,6-5,197,USA,1998-05-29T00:00:00,1,Undrafted,61,1418.0,444,193,110,29,20,925258.0
Cam Reddish,Knicks,Forward-Guard,6-8,217,USA,1999-09-01T00:00:00,3,10,133,3313.0,1399,425,170,142,52,4670160.0
Davon Reed,Nuggets,Guard,6-5,206,USA,1995-06-11T00:00:00,3,32,79,957.0,284,153,69,35,11,
Paul Reed,76ers,Forward,6-9,210,USA,1999-06-14T00:00:00,2,58,64,480.0,204,153,28,43,27,1517981.0
Naz Reid,Timberwolves,Center-Forward,6-9,264,USA,1999-08-26T00:00:00,3,Undrafted,177,3057.0,1690,747,178,93,169,1782621.0
Nick Richards,Hornets,Center,7-0,245,Jamaica,1997-11-29T00:00:00,2,42,68,430.0,165,97,15,9,21,1517981.0
Josh Richardson,Spurs,Guard,6-5,200,USA,1993-09-15T00:00:00,7,40,438,13033.0,5270,1377,1172,465,262,11600000.0
Austin Rivers,Timberwolves,Guard,6-4,200,USA,1992-08-01T00:00:00,10,10,655,15840.0,5741,1359,1438,466,108,2401537.0
Duncan Robinson,Heat,Forward,6-7,215,USA,1994-04-22T00:00:00,4,Undrafted,239,6631.0,2838,704,363,125,53,15560000.0
Mitchell Robinson,Knicks,Center-Forward,7-0,240,USA,1998-04-01T00:00:00,4,36,230,5473.0,1941,1720,128,197,458,1802057.0
Jeremiah Robinson-Earl,Thunder,Forward,6-8,242,USA,2000-11-03T00:00:00,1,32,49,1087.0,366,274,49,29,15,2000000.0
Isaiah Roby,Spurs,Forward,6-8,230,USA,1998-02-03T00:00:00,3,45,109,2385.0,987,560,178,88,71,1782621.0
Rajon Rondo,Cavaliers,Guard,6-1,180,USA,1986-02-22T00:00:00,17,21,957,28570.0,9337,4349,7584,1518,125,2641691.0
Derrick Rose,Knicks,Guard,6-2,200,USA,1988-10-04T00:00:00,13,1,672,21315.0,12230,2239,3646,521,235,13445120.0
Terrence Ross,Magic,Guard-Forward,6-6,206,USA,1991-02-05T00:00:00,10,8,670,16627.0,7525,1907,841,552,221,12500000.0
